Exercici,Ingrés / Despesa,Servei / Entitat,Nom Servei / Entitat,Subsector,Agrupació,Agrupació SP,Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicacio,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Pos.pressupostària,Import sense consolidar,Identificador
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,10,100,1000001,IRPF (bestreta tram autonòmic),0,0,0,,I/100000100/0000,7842800000,1
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,10,100,1000002,IRPF (liquidació tram autonòmic),0,0,0,,I/100000200/0000,-178694000,2
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,10,105,1050001,Impost sobre grans establiments comercials,0,0,0,,I/105000100/0000,14200000,3
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,11,110,1100001,Impost general sobre successions,0,0,0,,I/110000100/0000,156200000,4
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,11,110,1100002,Impost general sobre donacions,0,0,0,,I/110000200/0000,41400000,5
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,11,111,1110001,Impost sobre el patrimoni de les persones físiques  (exercicis anteriors),0,0,0,,I/111000100/0000,240400000,6
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,20,200,2000001,Impost sobre transmissions patrimonials,0,0,0,,I/200000100/0000,709000000,7
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,20,201,2010001,Impost sobre actes jurídics documentats,0,0,0,,I/201000100/0000,497300000,8
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,20,202,2020001,Impost sobre operacions societàries,0,0,0,,I/202000100/0000,14800000,9
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,21,210,2100001,IVA (bestreta participació en l'impost estatal),0,0,0,,I/210000100/0000,5550180000,10
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,21,210,2100002,IVA (liquidació participació en l'impost estatal),0,0,0,,I/210000200/0000,-330909220,11
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,220,2200001,Impost especial sobre labors del tabac (bestreta p articipació en l'impost estatal),0,0,0,,I/220000100/0000,857720000,12
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,221,2210001,Impost especial sobre alcohols (bestreta participa ció en l'impost estatal),0,0,0,,I/221000100/0000,123230000,13
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,222,2220001,Impost especial sobre hidrocarburs (bestreta parti cipació en l'impost estatal),0,0,0,,I/222000100/0000,983000000,14
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,223,2230001,Impost especial sobre energia (bestreta),0,0,0,,I/223000100/0000,311140000,15
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,224,2240001,Impost especial sobre determinats mitjans de trans port,0,0,0,,I/224000100/0000,114180000,16
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,225,2250001,Impost sobre vendes detallistes de determinats hid rocarburs,0,0,0,,I/225000100/0000,130000000,17
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,225,2250002,Impost sobre les vendes detallistes de determinats  hidrocarburs. Tram autonòmic,0,0,0,,I/225000200/0000,260000000,18
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,226,2260001,Liquidacions participació en impostos sobre consum s específics,0,0,0,,I/226000100/0000,-12492000,19
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,227,2270001,Impost sobre estades en establiments d'allotjament,0,0,0,,I/227000100/0000,100000000,20
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,30,301,3010001,Venda de publicacions,0,0,0,,I/301000100/0000,87000,21
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,310,3100001,Administració i cobrança,0,0,0,,I/310000100/0000,697000,22
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,312,3120001,Drets d'allotjament i restauració,0,0,0,,I/312000100/0000,3280000,23
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,313,3130001,Comissions sobre avals i assegurances per operacio ns financeres,0,0,0,,I/313000100/0000,403000,24
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,319,3190001,Guarderies infantils,0,0,0,,I/319000100/0000,3289000,25
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,319,3190009,Prestacions d'altres serveis,0,0,0,,I/319000900/0000,1214000,26
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210001,Taxes,0,0,0,,I/321000100/0000,10970000,27
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210009,Taxes per la inscripció a convocatòries de selecci ó de personal,0,0,0,,I/321000900/0000,1740000,28
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210010,Taxes per l'expedició de títols acadèmics i profes sionals,0,0,0,,I/321001000/0000,3925000,29
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210011,Taxes per la prestació de serveis docents de les e scoles oficials d'idiomes,0,0,0,,I/321001100/0000,8441000,30
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210012,Taxes per l'autorització de transport terrestre,0,0,0,,I/321001200/0000,1565000,31
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210013,"Taxes pel control i prova d'aparells, recipients o  vehicles segons normativa industrial",0,0,0,,I/321001300/0000,2458000,32
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210014,Taxes per l'expedició de la cèdula d'habitabilitat,0,0,0,,I/321001400/0000,1125000,33
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210015,Taxes per serveis de la Direcció General del Joc i  d'Espectacles,0,0,0,,I/321001500/0000,5566000,34
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210016,"Certificacions tècniques i informes en l'àmbit d'i ndústria, energia i mines",0,0,0,,I/321001600/0000,674000,35
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210018,Taxes pels drets de concessió de les autoritzacion s de treball per a les persones estrang.,0,0,0,,I/321001800/0000,3850000,36
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210019,Taxa per la prestació de serveis de prevenció i ex tinció d'incendis i salvaments,0,0,0,,I/321001900/0000,125000,37
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210020,Taxa pels serveis prestats pel cos de Mossos d'Esq uadra,0,0,0,,I/321002000/0000,400000,38
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210021,Taxes dels organismes de control de la seguretat i ndustrial,0,0,0,,I/321002100/0000,1100000,39
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210022,Taxes de la inspecció tècnica de vehicles,0,0,0,,I/321002200/0000,2850000,40
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,321,3210023,Taxa per expedició de recepta farmacèutica o produ,0,0,0,,I/321002300/0000,100000000,41
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,34,341,3410001,Tributs sobre el joc,0,0,0,,I/341000100/0000,254000000,42
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,34,342,3420001,Gravamen de protecció civil,0,0,0,,I/342000100/0000,"3546989,59",43
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,36,360,3600001,Contribucions servei d'incendis,0,0,0,,I/360000100/0000,20315128,44
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,38,380,3800001,Reintegraments d'exercicis tancats,0,0,0,,I/380000100/0000,20936000,45
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,390,3900001,Recàrrec de constrenyiment,0,0,0,,I/390000100/0000,4717000,46
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,390,3900002,Interessos de demora,0,0,0,,I/390000200/0000,"8644317,29",47
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,390,3900003,Multes i sancions,0,0,0,,I/390000300/0000,53028000,48
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020003,Participació dels municipis en els ingressos tribu taris de l'Estat,0,0,0,,I/402000300/0000,1891487400,49
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020005,Participació de les diputacions en els ingressos t ributaris de l'Estat,0,0,0,,I/402000500/0000,778731800,50
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020009,Programes socials: serveis socials corporacions lo cals,0,0,0,,I/402000900/0000,11700000,51
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020011,Fons específics de l'acord de finançament (fons de  cohesió sanitària),0,0,0,,I/402001100/0000,17000000,52
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020014,Liquidacions pendents del Fons de Suficiència,0,0,0,,I/402001400/0000,-57818150,53
2012,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020017,Beques no universitàries,0,0,0,,I/402001700/0000,10000000,54
