Exercici,Ingrés / Despesa,Servei / entitat,Nom servei / entitat,Subsector,Agrupació,"Agrupació
SP",Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicació,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Partida,Import sense consolidar
2010,D,IU04,Comissionat per a Universitats i Recerca,Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU04,Comissionat per a Universitats i Recerca,2,22,226,2260009,Funcionament de consells i òrgans col·legiats,4,42,422,Educació universitària,D/226000900/4220/0000,"6.000,00"
2010,D,IU04,Comissionat per a Universitats i Recerca,Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU04,Comissionat per a Universitats i Recerca,2,22,226,2260010,Premis,4,42,422,Educació universitària,D/226001000/4220/0000,"8.000,00"
2010,D,IU04,Comissionat per a Universitats i Recerca,Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU04,Comissionat per a Universitats i Recerca,4,48,482,4820001,A altres institucions sense fi de lucre i a altres  ens corporatius,4,42,422,Educació universitària,D/482000100/4220/0000,"813.600,00"
2010,D,GO01,Gabinet i SG de Governació i Administracions Públiques,Generalitat,GO,GO,GO,X,X,1000,Generalitat,GO01,Gabinet i SG de Governació i Administracions Públiques,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"4.044.019,92"
2010,D,TI01,Gabinet i SG de Treball,Generalitat,TI,TI,TI,X,X,1000,Generalitat,TI01,Gabinet i SG de Treball,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"817.187,71"
2010,D,BE01,Gabinet i SG d'Acció Social i Ciutadania,Generalitat,BE,BE,BE,X,X,1000,Generalitat,BE01,Gabinet i SG d'Acció Social i Ciutadania,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"8.948.456,46"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"320.426,65"
2010,D,EN01,Gabinet i SG d'Educació,Generalitat,EN,EN,EN,X,X,1000,Generalitat,EN01,Gabinet i SG d'Educació,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"2.191.300,00"
2010,D,PO01,Gabinet i SG de Política Territorial i Obres Públiques,Generalitat,PO,PO,PO,X,X,1000,Generalitat,PO01,Gabinet i SG de Política Territorial i Obres Públiques,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"150.178,64"
2010,D,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"5.042.685,00"
2010,D,MA01,Gabinet i SG de Medi Ambient i Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA01,Gabinet i SG de Medi Ambient i Habitatge,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"2.071.713,24"
2010,D,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",Generalitat,IT,IT,IT,X,X,1000,Generalitat,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"1.200.000,00"
2010,D,PR01,Gabinet i SG de la Presidència,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR01,Gabinet i SG de la Presidència,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"751.217,55"
2010,D,JU01,Gabinet i SG de Justícia,Generalitat,JU,JU,JU,X,X,1000,Generalitat,JU01,Gabinet i SG de Justícia,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"1.411.259,26"
2010,D,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"1.715.000,00"
2010,D,EC01,Gabinet i SG d'Economia i Finances,Generalitat,EC,EC,EC,X,X,1000,Generalitat,EC01,Gabinet i SG d'Economia i Finances,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"1.588.787,22"
2010,D,VP01,Gabinet i SG de la Vicepresidència,Generalitat,VP,VP,VP,X,X,1000,Generalitat,VP01,Gabinet i SG de la Vicepresidència,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"2.566.513,37"
2010,D,DD03,Despeses diversos departaments. Gestió Patrimonial. DG del Patrimoni,Generalitat,FN,FN,DD,X,X,1000,Generalitat,DD03,Despeses diversos departaments. Gestió Patrimonial. DG del Patrimoni,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"3.398.279,44"
2010,D,PR03,Secretaria General Adjunta,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR03,Secretaria General Adjunta,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"1.616.637,02"
2010,D,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,Generalitat,CU,CU,CU,X,X,1000,Generalitat,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"546.161,25"
2010,D,MA01,Gabinet i SG de Medi Ambient i Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA01,Gabinet i SG de Medi Ambient i Habitatge,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"2.622,64"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"2.400,00"
