Exercici,Ingrés / Despesa,Servei / Entitat,Nom Servei / Entitat,Subsector,Agrupació,Agrupació SP,Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicacio,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Pos.pressupostària,Import sense consolidar
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,10,100,1000001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/100000100/1210/0000,"348.865,04"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,10,100,1000002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/100000200/1210/0000,"351.597,60"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,11,110,1100001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/110000100/1210/0000,"149.185,76"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,11,110,1100002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/110000200/1210/0000,"401.755,80"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,12,120,1200001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/120000100/1210/0000,"26.794.174,74"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,12,121,1210001,Retribucions complementàries,1,12,121,Direcció i administració generals,D/121000100/1210/0000,"28.368.660,12"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,130,1300001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/130000100/1210/0000,"9.128.742,72"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,130,1300002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/130000200/1210/0000,"1.851.567,71"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,130,1300003,Altres remuneracions,1,12,121,Direcció i administració generals,D/130000300/1210/0000,"34.823,14"
2012,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,131,1310001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/131000100/1210/0000,"276.810,81"
