Exercici,Ingrés / Despesa,Servei / Entitat,Nom Servei / Entitat,Subsector,Agrupació,Agrupació SP,Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicacio,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Pos.pressupostària,Import sense consolidar,Identificador
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,10,100,1000001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/100000100/1210/0000,"323483,7",1
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,10,100,1000002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/100000200/1210/0000,"329798,54",2
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,11,110,1100001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/110000100/1210/0000,"124474,06",3
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,11,110,1100002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/110000200/1210/0000,"315853,54",4
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,12,120,1200001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/120000100/1210/0000,"23606258,87",5
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,12,121,1210001,Retribucions complementàries,1,12,121,Direcció i administració generals,D/121000100/1210/0000,"25040617,97",6
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,130,1300001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/130000100/1210/0000,"8544929,43",7
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,130,1300002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/130000200/1210/0000,"1770119,92",8
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,130,1300003,Altres remuneracions,1,12,121,Direcció i administració generals,D/130000300/1210/0000,"23284,1",9
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,131,1310001,Retribucions bàsiques,1,12,121,Direcció i administració generals,D/131000100/1210/0000,"259648,53",10
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,13,131,1310002,Retribucions complementàries,1,12,121,Direcció i administració generals,D/131000200/1210/0000,"23775,18",11
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,15,151,1510001,Gratificacions serveis extraordinaris,1,12,121,Direcció i administració generals,D/151000100/1210/0000,"10030,71",12
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,16,160,1600001,Seguretat Social,1,12,121,Direcció i administració generals,D/160000100/1210/0000,"15812024,73",13
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",1,17,172,1720001,Prestacions complementàries,1,12,121,Direcció i administració generals,D/172000100/1210/0000,"4485,67",14
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"1675845,13",15
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,20,201,2010001,Lloguers i cànons de material de transport,1,12,121,Direcció i administració generals,D/201000100/1210/0000,"1967068,86",16
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"736,44",17
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres constr.",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"144188,42",18
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,21,211,2110001,"Conservació, reparació i manteniment de material d e transport",1,12,121,Direcció i administració generals,D/211000100/1210/0000,"108434,4",19
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,21,213,2130001,"Conservació, reparació i manteniment d'altre immob ilitzat material",1,12,121,Direcció i administració generals,D/213000100/1210/0000,47424,20
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"22509,44",21
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"210113,6",22
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"34339,49",23
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",6,61,612,"Ordenació, reconversió i suport als subsectors agr aris i pesquers",D/220000200/6120/0000,3744,24
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,221,2210001,Aigua i energia,1,12,121,Direcció i administració generals,D/221000100/1210/0000,"448451,73",25
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,221,2210002,Combustible per a mitjans de transport,1,12,121,Direcció i administració generals,D/221000200/1210/0000,"369658,22",26
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,221,2210003,Vestuari,1,12,121,Direcció i administració generals,D/221000300/1210/0000,"49420,8",27
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,221,2210007,Queviures,1,12,121,Direcció i administració generals,D/221000700/1210/0000,"18969,6",28
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,221,2210089,Altres subministraments,1,12,121,Direcció i administració generals,D/221008900/1210/0000,"69326,09",29
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,222,2220001,"Despeses postals, missatgeria i altres similars",1,12,121,Direcció i administració generals,D/222000100/1210/0000,"526364,02",30
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,223,2230001,Transports,1,12,121,Direcció i administració generals,D/223000100/1210/0000,"57458,9",31
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,224,2240001,Despeses d'assegurances,1,12,121,Direcció i administració generals,D/224000100/1210/0000,"3327,48",32
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,225,2250001,Tributs,1,12,121,Direcció i administració generals,D/225000100/1210/0000,"197598,96",33
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,226,2260002,Atencions protocol·làries i representatives,1,12,121,Direcció i administració generals,D/226000200/1210/0000,30000,34
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,226,2260003,"Publicitat, difusió i campanyes institucionals",1,12,121,Direcció i administració generals,D/226000300/1210/0000,50000,35
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,226,2260004,Jurídics i contenciosos,1,12,121,Direcció i administració generals,D/226000400/1210/0000,"577069,77",36
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,226,2260005,"Organització de reunions, conferències i cursos",1,12,121,Direcció i administració generals,D/226000500/1210/0000,5000,37
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,226,2260007,Publicacions i edictes als diaris oficials,1,12,121,Direcció i administració generals,D/226000700/1210/0000,"60571,44",38
2014,D,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Ag.,Ram.,Pesca, A i MN",2,22,227,2270001,Neteja i sanejament,1,12,121,Direcció i administració generals,D/227000100/1210/0000,"804550,98",39
