Exercici,Ingrés / Despesa,Servei / entitat,Nom servei / entitat,Subsector,Agrupació,"Agrupació
SP",Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicació,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Partida,Import sense consolidar,Identificador
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,1,11,110,1100001,Impost general sobre successions,0,0,0,0,I/110000100/0000,798000000,1
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,4,40,402,4020033,Compensació supressió impost sobre el patrimoni,0,0,0,0,I/402003300/0000,536700000,2
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,2,20,200,2000001,Impost sobre transmissions patrimonials,0,0,0,0,I/200000100/0000,649967000,3
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,2,20,201,2010001,Impost sobre actes jurídics documentats,0,0,0,0,I/201000100/0000,676998000,4
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,30,301,3010001,Venda de publicacions,0,0,0,0,I/301000100/0000,207000,5
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,31,311,3110001,Drets de matrícula,0,0,0,0,I/311000100/0000,207000,6
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,31,319,3190001,Guarderies infantils,0,0,0,0,I/319000100/0000,3312000,7
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,31,319,3190009,Prestacions d'altres serveis,0,0,0,0,I/319000900/0000,300000,8
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,32,321,3210001,Taxes,0,0,0,0,I/321000100/0000,10110000,9
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,34,341,3410001,Tributs sobre el joc,0,0,0,0,I/341000100/0000,309200000,10
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,36,360,3600001,Contribucions servei d'incendis,0,0,0,0,I/360000100/0000,19526000,11
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,38,380,3800001,Reintegraments d'exercicis tancats,0,0,0,0,I/380000100/0000,18424000,12
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,39,390,3900001,Recàrrec de constrenyiment,0,0,0,0,I/390000100/0000,4554000,13
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,39,390,3900002,Interessos de demora,0,0,0,0,I/390000200/0000,5693000,14
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,39,390,3900003,Multes i sancions,0,0,0,0,I/390000300/0000,53028000,15
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,3,39,399,3990009,Altres ingressos diversos,0,0,0,0,I/399000900/0000,34088000,16
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,4,40,402,4020005,Participació de les diputacions en els ingressos t ributaris de l'Estat,0,0,0,0,I/402000500/0000,695917590,17
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,4,40,402,4020006,Suport a la jubilació dels treballadors d'empreses  en crisi,0,0,0,0,I/402000600/0000,500000,18
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,4,40,402,4020009,Programes socials: serveis socials corporacions lo cals,0,0,0,0,I/402000900/0000,13000000,19
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,4,40,402,4020010,Fons de suficiència,0,0,0,0,I/402001000/0000,2508329000,20
2010,I,1000,Generalitat,Generalitat,,,,X,X,1000,Generalitat,,,4,40,402,4020012,Acord finançament sanitari (transferències),0,0,0,0,I/402001200/0000,103113000,21
