Exercici,Ingrés / Despesa,Servei / Entitat,Nom Servei / Entitat,Subsector,Agrupació,Agrupació SP,Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicacio,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Pos.pressupostària,Import sense consolidar,Identificador
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,10,100,1000001,IRPF (bestreta tram autonòmic),0,0,0,,I/100000100/0000,7046070000,1
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,10,100,1000002,IRPF (liquidació tram autonòmic),0,0,0,,I/100000200/0000,-178686850,2
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,10,105,1050001,Impost sobre grans establiments comercials,0,0,0,,I/105000100/0000,"39928843,29",3
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,11,110,1100001,Impost general sobre successions,0,0,0,,I/110000100/0000,"272981653,73",4
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,11,110,1100002,Impost general sobre donacions,0,0,0,,I/110000200/0000,"58072381,7",5
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,1,11,111,1110001,Impost sobre el patrimoni de les persones físiques,0,0,0,,I/111000100/0000,"458189132,08",6
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,20,200,2000001,Impost sobre transmissions patrimonials,0,0,0,,I/200000100/0000,"865344251,51",7
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,20,201,2010001,Impost sobre actes jurídics documentats,0,0,0,,I/201000100/0000,227760000,8
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,20,202,2020001,Impost sobre operacions societàries,0,0,0,,I/202000100/0000,9828000,9
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,21,210,2100001,IVA (bestreta participació en l'impost estatal),0,0,0,,I/210000100/0000,5249510000,10
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,21,210,2100002,IVA (liquidació participació en l'impost estatal),0,0,0,,I/210000200/0000,-330908680,11
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,220,2200001,Impost especial sobre labors del tabac (bestreta p articipació en l'impost estatal),0,0,0,,I/220000100/0000,848660000,12
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,221,2210001,Impost especial sobre alcohols (bestreta participa ció en l'impost estatal),0,0,0,,I/221000100/0000,119720000,13
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,222,2220001,Impost especial sobre hidrocarburs (bestreta parti cipació rendiment tipus estatal),0,0,0,,I/222000100/0000,1056360000,14
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,222,2220002,Impost especial sobre hidrocarburs (tipus autonòmi c),0,0,0,,I/222000200/0000,"229528342,54",15
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,223,2230001,Impost especial sobre energia (bestreta),0,0,0,,I/223000100/0000,322350000,16
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,224,2240001,Impost especial sobre determinats mitjans de trans port,0,0,0,,I/224000100/0000,"57310825,94",17
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,226,2260001,Liquidacions participació en impostos sobre consum s específics,0,0,0,,I/226000100/0000,-12505540,18
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,22,227,2270001,Impost sobre estades en establiments d'allotjament turístic,0,0,0,,I/227000100/0000,38500000,19
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,2,23,231,2310001,Impost sobre la producció termonuclear d'energia e lèctrica per la seva incidència en el medi ambient,0,0,0,,I/231000100/0000,21596760,20
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,30,301,3010001,Venda de publicacions,0,0,0,,I/301000100/0000,90780,21
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,310,3100001,Administració i cobrança,0,0,0,,I/310000100/0000,725220,22
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,311,3110001,Drets de matrícula,0,0,0,,I/311000100/0000,35000,23
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,312,3120001,Drets d'allotjament i restauració,0,0,0,,I/312000100/0000,51000,24
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,313,3130001,Comissions sobre avals i assegurances per operacio ns financeres,0,0,0,,I/313000100/0000,419220,25
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,317,3170003,Prestació de serveis d'assistència sanitària per c ompte dels centres de la XHUP,0,0,0,,I/317000300/0000,3571082,26
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,319,3190001,Guarderies infantils,0,0,0,,I/319000100/0000,385000,27
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,31,319,3190009,Prestacions d'altres serveis a entitats de dins de l sector públic,0,0,0,,I/319000900/0000,1262760,28
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3200201,Taxes la inscripció a convocatòries de selecció de personal,0,0,0,,I/320020100/0000,51000,29
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3200901,Taxes per l'expedició de títols acadèmics i profes sionals,0,0,0,,I/320090100/0000,4084080,30
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3200902,Taxes per a la prestació de serveis docents de les escoles oficials d'idiomes,0,0,0,,I/320090200/0000,8782200,31
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3201401,"Taxes per la prestació de serveis en matèria de me trologia, autorització d'instal.lacions, inscripcions Registre, control aparells i altres",0,0,0,,I/320140100/0000,"3258458,52",32
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3201403,Taxes de la inspecció tècnica de vehicles,0,0,0,,I/320140300/0000,2850000,33
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3201404,Taxes dels organismes de control de la seguretat i ndustrial,0,0,0,,I/320140400/0000,1100000,34
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3201501,Taxes per serveis de la Direcció General del Joc i d'Espectacles,0,0,0,,I/320150100/0000,8662095,35
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202101,Taxes en matèria de protecció de la salut,0,0,0,,I/320210100/0000,1000000,36
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202102,Taxes en matèria de policia sanitària mortuòria,0,0,0,,I/320210200/0000,590000,37
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202107,"Taxes per activitats de control i inspecció sanità ria en escorxadors, sales d'especejament i transformació de la caça",0,0,0,,I/320210700/0000,8560000,38
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202116,Taxes per la prestació de l'Institut d'Estudis de la Salut,0,0,0,,I/320211600/0000,57000,39
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202204,Taxes pels serveis prestats pel cos de Mossos d'Es quadra,0,0,0,,I/320220400/0000,1100000,40
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202205,Taxes per la prestació de serveis de prevenció i e xtinció d'incendis i salvaments,0,0,0,,I/320220500/0000,113500,41
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202503,Taxes per l'autorització de transport terrestre,0,0,0,,I/320250300/0000,1003680,42
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,32,320,3202602,Taxes pels drets de concessió de les autoritzacion s de treball per a les persones estrangeres,0,0,0,,I/320260200/0000,4005540,43
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,34,341,3410001,Tributs sobre el joc,0,0,0,,I/341000100/0000,"175329066,05",44
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,34,342,3420001,Gravamen de protecció civil,0,0,0,,I/342000100/0000,"6848420,44",45
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,36,360,3600001,Contribucions servei d'incendis,0,0,0,,I/360000100/0000,"22168495,02",46
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,38,380,3800001,Reintegraments d'exercicis tancats,0,0,0,,I/380000100/0000,6000000,47
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,390,3900001,Recàrrec de constrenyiment,0,0,0,,I/390000100/0000,4907220,48
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,390,3900002,Interessos de demora,0,0,0,,I/390000200/0000,"8993547,71",49
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,390,3900003,Multes i sancions,0,0,0,,I/390000300/0000,55470780,50
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,399,3990007,Pensions i prestacions per a menors tutelats per l a Generalitat,0,0,0,,I/399000700/0000,1500000,51
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,3,39,399,3990009,Altres ingressos diversos,0,0,0,,I/399000900/0000,350000,52
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020003,Participació dels municipis en els ingressos tribu taris de l'Estat,0,0,0,,I/402000300/0000,2233921000,53
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020005,Participació de les diputacions en els ingressos t ributaris de l'Estat,0,0,0,,I/402000500/0000,863795000,54
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020009,Programes socials: serveis socials corporacions lo cals,0,0,0,,I/402000900/0000,3000000,55
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020011,Fons de cohesió sanitària,0,0,0,,I/402001100/0000,35000000,56
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020014,Liquidacions pendents del Fons de Suficiència,0,0,0,,I/402001400/0000,-57818150,57
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020017,Beques no universitàries,0,0,0,,I/402001700/0000,10000000,58
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020036,Liquidació bestreta a compte dels recursos previst os en el sistema de finançament aprovat per Acord 6/2009 del CPFF,0,0,0,,I/402003600/0000,-53845860,59
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020039,Liquidació recursos previstos en el sistema de fin ançament per a l'any 2012,0,0,0,,I/402003900/0000,729410000,60
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020070,Fons de Suficiència Global (bestreta),0,0,0,,I/402007000/0000,638120000,61
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020072,Fons de Garantia de Serveis Públics Fonamentals (b estreta),0,0,0,,I/402007200/0000,-748350000,62
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,402,4020076,Regularització del model de finançament,0,0,0,,I/402007600/0000,330696870,63
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,403,4030001,INEM-SPEE. Formació contínua de treballadors,0,0,0,,I/403000100/0000,19709018,64
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,403,4030002,INEM-SPEE. Promoció i altres programes d'ocupació,0,0,0,,I/403000200/0000,"33334974,67",65
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,403,4030003,INEM-SPEE. Programa de qualificació professional ( Pla FIP),0,0,0,,I/403000300/0000,"88959898,33",66
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,403,4030005,INEM-SPEE. Centres especials de treball,0,0,0,,I/403000500/0000,44285482,67
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,403,4030006,INEM-SPEE. Promoció de l'ocupació autònoma i abona ment quotes de la Seguretat Social,0,0,0,,I/403000600/0000,7389033,68
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,403,4030007,Formació del personal de l'Administració,0,0,0,,I/403000700/0000,4434840,69
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,405,4050002,Del Consell de Seguretat Nuclear,0,0,0,,I/405000200/0000,955000,70
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,406,4060004,Conveni control IT,0,0,0,,I/406000400/0000,55000000,71
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,406,4060005,Altres ingressos de la Seguretat Social,0,0,0,,I/406000500/0000,186506,72
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,406,4060006,De l'INSS per facturació d'assistència sanitària p er accidents de treball,0,0,0,,I/406000600/0000,1000,73
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,406,4060008,De l'INSS per assistència sanitària a assegurats d 'altres Estats residents temporalment a Catalunya (quota global),0,0,0,,I/406000800/0000,20000000,74
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,406,4060016,Promoció de l'autonomia personal i atenció a les p ersones en situació de dependència,0,0,0,,I/406001600/0000,188300000,75
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,40,406,4060017,Gestió de pensions no contributives,0,0,0,,I/406001700/0000,1150000,76
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,43,430,4300001,D'entitats autònomes administratives de la General itat,0,0,0,,I/430000100/0000,112677,77
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,43,430,4306200,Del Servei Català de Trànsit,0,0,0,,I/430620000/0000,35000000,78
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,43,431,4316230,De l'Entitat Autònoma de Jocs i Apostes,0,0,0,,I/431623000/0000,6100000,79
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,46,462,4620005,De la Diputació de Barcelona. Centre Assistencial Emili Mira,0,0,0,,I/462000500/0000,4240000,80
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,4,49,493,4930001,Fons Social Europeu,0,0,0,,I/493000100/0000,38000000,81
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,5,51,510,5100001,Interessos de bestretes i préstecs,0,0,0,,I/510000100/0000,20000000,82
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,5,52,520,5200001,Interessos de comptes corrents,0,0,0,,I/520000100/0000,50000,83
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,5,52,520,5200002,Interessos cash pooling,0,0,0,,I/520000200/0000,4000000,84
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,5,53,531,5310001,Diferències positives d'operacions financeres,0,0,0,,I/531000100/0000,50000,85
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,5,54,540,5400001,Lloguers de béns immobles,0,0,0,,I/540000100/0000,330920,86
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,5,54,543,5430009,Altres cànons,0,0,0,,I/543000900/0000,1430000000,87
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,6,61,610,6100001,Alienació d'edificis i altres construccions,0,0,0,,I/610000100/0000,"864004627,51",88
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,7,79,793,7930001,FEDER,0,0,0,,I/793000100/0000,"1966493,78",89
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,7,79,793,7930011,FEADER,0,0,0,,I/793001100/0000,23100000,90
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,8,81,812,8120001,Reintegrament de préstecs i bestretes fora sector públic a llarg termini,0,0,0,,I/812000100/0000,"19136331,85",91
2014,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,1000,,9,91,912,9120001,Préstecs fora del sector públic a llarg termini,0,0,0,,I/912000100/0000,"8235406626,19",92
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,30,302,3020001,Venda de material de rebuig,0,0,0,,I/302000100/0000,10,93
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,31,317,3170001,Prestació de serveis d'assistència sanitària per c ompte del Catsalut,0,0,0,,I/317000100/0000,"3523700,51",94
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,31,318,3180001,D'atenció a usuaris de programes socials,0,0,0,,I/318000100/0000,120617000,95
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,31,318,3180002,D'atenció a usuaris de programes sociosanitaris,0,0,0,,I/318000200/0000,15206000,96
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,31,318,3180003,Mòdul sanitari per atenció a usuaris sociosanitari s,0,0,0,,I/318000300/0000,800000,97
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,31,319,3190009,Prestacions d'altres serveis,0,0,0,,I/319000900/0000,10,98
2014,I,5000,Institut Català d'Assistència i Serveis Socials (ICASS),"CatSalut, ICS i ICASS",,,,X,X,5000,Institut Català d'Assistència i Serveis Socials (ICASS),5000,Inst.Cat. Assistència i Serveis Socials,3,38,380,3800001,Reintegraments d'exercicis tancats,0,0,0,,I/380000100/0000,10,99
